"pitch_name","pitches","Zone","CStr","Swing","Contact","foul_pct","exit_velo","launch_angle","Hard","BABIP","wOBA","xwOBA","flare","barrel","barrelperPA","pv","pvC","pv_tj","pvC_tj","shifted"
"4-Seam Fastball",780,49.1,16.3,45.9,67.9,61.3,95.9,18.3,66.7,0.361,0.397,0.377,26.5,21.7,10.3,10.9,1.39,6.8,0.87,80.3
"Slider",476,40.8,15.1,45.4,56.5,45.9,93.9,24.4,59,0.25,0.41,0.428,18,27.9,14.3,9,1.9,9.3,1.96,80.5
"Changeup",425,31.8,6.8,44.9,64.9,47.6,89.9,22.7,54.8,0.273,0.366,0.366,22.6,16.1,10,8.9,2.09,7.9,1.87,80.7
"Sinker",353,53,19.8,45.6,82.6,56.4,92.6,3.4,62.5,0.292,0.522,0.504,13,27.8,18.8,8.5,2.4,10.5,2.98,70
"Curveball",255,40,13.3,45.5,65.5,50,96.6,17.4,67.6,0.343,0.336,0.366,16.2,27,15.2,1.6,0.62,2.2,0.87,85.5
"Cutter",143,49.7,13.3,53.1,75,43.9,90.3,11.6,46.7,0.269,0.445,0.464,20,16.7,12.5,3.7,2.59,2.7,1.86,74.8
"Knuckle Curve",88,39.8,21.6,38.6,67.6,47.8,92.8,9,72.7,0.3,0.341,0.325,36.4,9.1,4.3,0.1,0.1,0.2,0.21,86.4
"Split-Finger",65,27.7,4.6,49.2,43.8,35.7,87.6,-5.2,37.5,0.286,0.37,0.341,0,25,13.3,2.2,3.44,1.1,1.63,78.5
"",8,0,0,62.5,100,80,NA,NA,0,1,0.9,0.9,NA,NA,0,0.5,6.51,0.5,6.27,100
"Fastball",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.8,0,3.71,100
