"zone","pitches","CStr","Swing","Contact","foul_pct","exit_velo","launch_angle","Pull","Hard","BABIP","wOBA","xwOBA","flare","barrel","barrelperPA","pv","pvC","pv_tj","pvC_tj","shifted"
1,52,0,100,57.7,66.7,153.3,7.6,50,50,0.5,0.346,0.27,50,12.5,7.1,-1.1,-2.11,-1.4,-2.6,82.7
2,94,0,100,67,69.8,157.8,29.1,50,66.7,0.286,0.433,0.471,0,37.5,26.1,-1.4,-1.47,-0.5,-0.58,74.5
3,50,0,100,76,50,140.4,23.4,46.7,40,0.308,0.36,0.233,20,13.3,8.3,0.7,1.32,0,0.02,88
4,103,0,100,84.5,44.8,160,19.8,42.2,75.6,0.325,0.466,0.551,28.9,22.2,18.9,4.6,4.48,4.8,4.65,79.6
5,144,0,100,77.8,53.6,163.9,19.9,50,96,0.114,0.616,0.738,12,42,36.2,6.9,4.82,10.7,7.44,79.9
6,88,0,100,90.9,47.5,156.8,19,48.8,68.3,0.364,0.64,0.567,22,29.3,27.3,11.4,12.98,9.2,10.48,73.9
7,86,0,100,72.1,37.1,143.2,7.2,65.7,40,0.323,0.377,0.304,17.6,14.7,10.6,0.1,0.13,0.7,0.78,86
8,107,0,100,72.9,46.2,157.6,12.3,58.5,80.5,0.243,0.331,0.424,26.8,24.4,17.9,0.1,0.12,-1.8,-1.66,72.9
9,62,0,100,71,56.8,160,8.4,55.6,66.7,0.4,0.591,0.569,22.2,27.8,22.7,0.1,0.12,2.6,4.25,82.3
11,68,0,100,55.9,65.8,142.9,12.1,33.3,41.7,0.091,0.144,0.181,8.3,8.3,4,-3,-4.42,-4.6,-6.74,76.5
12,86,0,100,67.4,63.8,124.1,20,47.6,38.1,0.4,0.331,0.234,14.3,14.3,9.4,-1,-1.11,-1.4,-1.68,76.7
13,145,0,100,46.9,47.1,123.6,15,51.5,9.1,0.242,0.122,0.102,15.2,3,1.5,-12.5,-8.6,-13.3,-9.15,78.6
14,99,0,100,34.3,58.8,137.5,12.1,50,33.3,0.727,0.279,0.182,41.7,8.3,2.6,-2.7,-2.76,-3.1,-3.15,81.8
NA,5,0,100,100,80,NA,NA,100,0,1,0.9,0.9,NA,NA,0,0.3,6.44,0.4,7.85,100
