"name","Team","Fastball_pct","Zone","CStr","Swing","Chase","Contact","exit_velo","launch_angle","Pull","Hard","BABIP","wOBA","xwOBA","flare","barrel","barrelperPA","shifted","IBB"
"Soto, Juan","WSN",55.48,47.8,20,35,12.2,81.8,149.7,5.8,36.7,52.7,0.337,0.43,0.431,23.5,13.3,8.7,58.9,23
"Harper, Bryce","PHI",53.19,45,11.9,47.5,24.7,69.4,146.6,12.9,41.1,49.7,0.364,0.438,0.428,23.9,18.1,11.1,80.3,14
"Guerrero, Vladimir","TOR",55.84,46.4,12.6,47.3,24.5,73.9,153.1,9.4,41.1,55.2,0.314,0.427,0.421,21.5,15.2,10.9,23.2,7
"Judge, Aaron","NYY",50.83,44.2,17.1,42.6,23.8,73.3,154.1,11.5,38.7,57.9,0.336,0.396,0.42,23.6,17.8,11.2,40.1,2
"Freeman, Freddie","ATL",58.6,49.1,11,50.7,25.1,80.4,147.3,11.9,41.1,46.2,0.325,0.397,0.417,31.1,11.8,8.4,82.4,15
"Votto, Joey","CIN",55.24,47.8,15.7,43.9,21.7,73.3,149.6,18.2,47.7,53.2,0.291,0.398,0.411,23.7,17.2,10.6,85.5,6
"Muncy, Max","LAD",51.11,49.1,20,37.6,15.7,78,146.8,15.2,46.6,46.6,0.258,0.386,0.406,19.7,16.2,10.4,95,5
"Ohtani, Shohei","LAA",49.19,43.4,14.4,45.8,27.2,67,150.1,16.3,51.1,53.4,0.305,0.405,0.404,20.2,22.5,12.6,80.6,20
"Goldschmidt, Paul","STL",54.97,48.4,18.6,44,24.9,77.1,149,17.1,39.5,50.8,0.336,0.39,0.399,26.4,13.5,9.4,13.1,2
"Tatis, Fernando","SDP",54.41,44.1,10.2,51.5,29,67.3,150.9,13.6,47.4,55.6,0.329,0.414,0.399,18.8,21.3,13,45.6,6
"Devers, Rafael","BOS",66.79,47,11,53.3,32,74.4,149.5,14.1,41.4,52,0.306,0.386,0.396,22.2,15.4,10.6,61.7,7
"Tucker, Kyle","HOU",55.92,47.8,10.2,52.7,26.7,80.8,147.1,16.9,39.6,47,0.306,0.392,0.394,23.8,11.5,8.6,85.7,5
"Álvarez, Yordan","HOU",54.66,46.7,19.1,42.9,26.3,78.3,150,14.5,36.5,54,0.332,0.381,0.393,20.6,16.4,10.7,91.7,3
"Donaldson, Josh","MIN",55.72,47.4,14.9,45.2,22.6,74.7,151.5,14.6,47.9,52.7,0.274,0.359,0.39,18.6,17.4,11.3,26.2,2
"Olson, Matt","OAK",57.07,48.2,13.4,47,23.7,78.7,147.3,16,46.2,48.8,0.276,0.384,0.383,19.7,12.7,8.9,95.7,12
"O'Neill, Tyler","STL",54.28,47.9,14.7,49.7,27.5,67.4,149.7,17.9,40.8,52,0.37,0.396,0.382,23.5,17.9,10.5,44.5,0
"Reynolds, Bryan","PIT",50.82,47.7,12.2,48.9,24.7,77.5,143.7,13.3,44.8,40.8,0.349,0.397,0.382,26.9,10.4,7.2,50.5,9
"Martinez, J. D.","BOS",55.75,47.3,11.3,53.8,33.2,72.8,148.6,16.7,36.5,49.9,0.348,0.38,0.381,24.8,13.2,8.9,23,6
"Machado, Manny","SDP",58.09,46.4,15.4,48,28.9,79,149.7,13.9,43.1,52.2,0.297,0.359,0.381,24.2,13.3,10,26.8,10
"Alonso, Pete","NYM",60.14,46.1,13.8,49.3,30.8,76.5,146.5,14.7,41.6,47.3,0.277,0.377,0.381,20.1,14.9,10.3,41.6,6
"Perez, Salvador","KCR",49.83,41.9,9.3,58.9,44.6,68.5,149.8,15.9,46.3,56.2,0.301,0.37,0.375,24.2,16.3,11.2,61.2,4
"Castellanos, Nick","CIN",49.04,44,10.2,55,36.3,70.8,144.6,14,41.3,46.9,0.346,0.4,0.371,24.3,10.6,7.6,31.2,5
"Ramirez, Jose","CLE",51.48,46.7,17.6,43,24.1,86.5,144.7,18.2,58.3,42.3,0.259,0.378,0.37,23.1,11.2,8.3,72.6,10
"Bell, Josh","WSN",52.66,45.6,13.1,46.7,23.8,77.4,148.9,4.9,39.8,52,0.278,0.372,0.367,24.8,8.8,6.2,51,2
"Correa, Carlos","HOU",58.15,47.2,19.2,42.3,24.6,80,144.8,11.5,38.4,42.1,0.315,0.371,0.365,27,8.9,6.2,14.2,2
"Stanton, Giancarlo","NYY",56.15,45.2,17.1,44.3,28,70,153.3,10.4,38.4,55.7,0.331,0.385,0.364,17.7,16.3,10,27,1
"Cron, C. J.","COL",57.74,45.9,16,47.1,30.9,75.4,143,15.8,40.6,42,0.32,0.393,0.364,26.1,11.5,7.5,38.7,3
"Soler, Jorge","- - -",50.33,46.7,14.6,45.1,22.7,72.8,147.2,15.5,54.8,48,0.255,0.343,0.362,20.8,13,8.1,71.8,0
"Cruz, Nelson","- - -",54.27,46.8,12.2,51.1,31.1,72.1,148.8,11.8,40.7,52,0.289,0.357,0.361,19.4,13.5,9.3,26,10
"Brantley, Michael","HOU",59.26,51.1,18.9,45.7,24.2,88.8,144.1,9.4,41,43.8,0.346,0.358,0.361,32.3,5.5,4.5,60.7,1
"Hernandez, Teoscar","TOR",55.81,46.9,12.5,51.8,30.6,70.1,147.8,13.1,43.3,49,0.354,0.385,0.36,24.5,14,9.4,28.2,1
"Candelario, Jeimer","DET",54.53,46.8,15.5,47.6,29.1,77.8,142.6,12.5,44.8,39.1,0.333,0.357,0.359,28.4,9,6.1,60.4,1
"Crawford, Brandon","SFG",52.29,48.1,11.4,52,28,72.5,142.7,14.4,39.8,43.4,0.336,0.386,0.358,22.1,11.5,8.2,59.6,6
"Riley, Austin","ATL",57.11,46.8,14.3,49.8,30.8,72.7,145.5,14.1,43.6,46.4,0.379,0.386,0.358,24.8,14.1,9.1,41.3,2
"Turner, Justin","LAD",59.31,49.4,16.9,44.7,23.3,83.5,146.1,18.5,35.3,42.4,0.286,0.358,0.357,26.8,7.9,5.7,18.4,0
"Betts, Mookie","LAD",59,48.8,19.6,40.5,18.5,84.9,145.6,18.9,49.8,41.8,0.286,0.379,0.355,24.4,7.3,5.2,42.3,2
"Garcia, Avisail","MIL",54.08,47,8.9,58.5,37.6,67.4,145.2,8.8,45.5,46,0.295,0.353,0.354,22.7,11.9,8,42.6,5
"Abreu, José","CHW",58.4,46.7,16.1,48.2,31.8,74.5,148.1,10.3,41.4,48.9,0.304,0.364,0.354,21.9,10,6.5,11.7,3
"Blackmon, Charlie","COL",61.29,50.8,16.2,47.3,26.2,81.2,141,10.2,41.8,38.5,0.307,0.342,0.353,29.8,7,5.2,78.2,1
"Lowe, Brandon","TBR",49.92,46.8,10.8,52.7,29.8,68.6,143.5,16.2,46.6,43.2,0.275,0.362,0.353,22.1,13.9,8.4,85.5,4
"Bogaerts, Xander","BOS",55.69,46.6,18.5,45.9,31.5,78.9,144.6,12.6,45.7,43.1,0.336,0.383,0.352,24.2,9.9,6.9,8.1,2
"Gallo, Joey","- - -",54.9,47.1,15.8,40.6,19,63.2,144.6,21,49.1,45.7,0.243,0.35,0.352,16,18.5,8.6,97.6,5
"France, Ty","SEA",58.98,48.3,14,50.3,30,82.6,142.5,11,39.1,38.9,0.331,0.365,0.352,29.8,6.8,4.9,19.5,1
"Rizzo, Anthony","- - -",59.67,49,17.7,46.7,29.5,81.5,144.9,14.8,51,41.3,0.26,0.352,0.351,25.5,8,5.7,86.5,2
