"Name","PA","H","HR","R","RBI","BB","IBB","SO","SB","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA"
"Vladimir Guerrero Jr.",698,188,48,123,111,86,7,110,4,0.311,0.401,0.601,1.002,0.29,0.313,0.419,60.4
"Bryce Harper",599,151,35,101,84,100,14,134,13,0.309,0.429,0.615,1.044,0.305,0.359,0.431,57.7
"Juan Soto",654,157,29,111,95,145,23,93,9,0.313,0.465,0.534,0.999,0.221,0.332,0.42,57.3
"Shohei Ohtani",639,138,46,103,100,96,20,189,26,0.257,0.372,0.592,0.965,0.335,0.303,0.393,41.8
"Fernando Tatis Jr.",546,135,42,99,97,62,6,153,25,0.282,0.364,0.611,0.975,0.328,0.324,0.403,39.9
"Trea Turner",646,195,28,107,77,41,2,110,32,0.328,0.375,0.536,0.911,0.208,0.362,0.386,38.4
"Aaron Judge",633,158,39,89,98,75,2,158,6,0.287,0.373,0.544,0.916,0.256,0.332,0.387,38
"Bryan Reynolds",646,169,24,93,90,75,9,119,5,0.302,0.39,0.522,0.912,0.22,0.345,0.385,37.7
"Nick Castellanos",585,164,34,95,100,41,5,121,3,0.309,0.362,0.576,0.939,0.267,0.34,0.391,37.2
"Freddie Freeman",695,180,31,120,83,85,15,107,8,0.3,0.393,0.503,0.896,0.203,0.321,0.379,37.2
"Matt Olson",673,153,39,101,111,88,12,113,4,0.271,0.371,0.54,0.911,0.269,0.269,0.379,35.7
"Austin Riley",662,179,33,91,107,52,2,168,0,0.303,0.367,0.531,0.898,0.227,0.368,0.379,35.6
"Joey Votto",533,119,36,73,99,77,6,127,1,0.266,0.375,0.563,0.938,0.297,0.287,0.391,33.9
"Paul Goldschmidt",679,177,31,102,99,67,2,136,12,0.294,0.365,0.514,0.879,0.221,0.331,0.373,33.2
"Rafael Devers",664,165,38,101,113,62,7,143,5,0.279,0.352,0.538,0.89,0.259,0.307,0.373,32.2
"Cedric Mullins II",675,175,30,91,59,59,3,125,30,0.291,0.36,0.518,0.878,0.228,0.322,0.372,32
"Kyle Tucker",567,149,30,83,92,53,5,90,14,0.294,0.359,0.557,0.917,0.263,0.304,0.383,31.9
"Marcus Semien",724,173,45,115,102,66,0,146,15,0.265,0.334,0.538,0.873,0.273,0.276,0.368,31.9
"Max Muncy",592,124,36,95,94,83,5,120,2,0.249,0.368,0.527,0.895,0.278,0.257,0.379,31.5
"C.J. Cron",547,132,28,70,92,60,3,117,1,0.281,0.375,0.53,0.905,0.249,0.316,0.383,31
"Tyler O'Neill",537,138,34,89,80,38,0,168,15,0.286,0.352,0.56,0.912,0.274,0.366,0.384,30.8
"Jose Ramirez",636,147,36,111,103,72,10,87,27,0.266,0.355,0.538,0.893,0.272,0.256,0.372,30.2
"Brandon Crawford",549,144,24,79,90,56,6,105,11,0.298,0.373,0.522,0.895,0.224,0.334,0.377,28.5
"Yordan Alvarez",598,149,33,92,104,50,3,145,1,0.277,0.346,0.531,0.877,0.253,0.32,0.369,27.2
"Teoscar Hernandez",595,163,32,92,116,36,1,148,12,0.296,0.346,0.524,0.87,0.227,0.352,0.369,26.8
"Xander Bogaerts",603,156,23,90,79,62,2,113,5,0.295,0.37,0.493,0.863,0.198,0.333,0.368,26.7
"Giancarlo Stanton",579,139,35,64,97,63,1,157,0,0.273,0.354,0.516,0.87,0.243,0.324,0.37,26.4
"J.D. Martinez",634,163,28,92,99,55,6,150,0,0.286,0.349,0.518,0.867,0.232,0.34,0.364,26
"Carlos Correa",640,155,26,104,92,75,2,116,0,0.279,0.366,0.485,0.85,0.205,0.308,0.364,26
"Pete Alonso",637,147,37,81,94,60,6,127,3,0.262,0.344,0.519,0.863,0.257,0.274,0.363,25.4
"Jonathan India",631,143,21,98,69,71,1,141,12,0.269,0.376,0.459,0.835,0.19,0.326,0.363,25.2
"Brandon Lowe",615,132,39,97,99,68,4,167,7,0.247,0.34,0.523,0.863,0.277,0.28,0.363,24.9
"Salvador Perez",665,169,48,88,121,28,4,170,1,0.273,0.316,0.544,0.859,0.271,0.298,0.359,24.6
"Yuli Gurriel",605,169,15,83,81,59,2,68,1,0.319,0.383,0.462,0.846,0.143,0.336,0.363,24.4
"Jose Altuve",678,167,31,117,83,66,3,91,5,0.278,0.35,0.489,0.839,0.211,0.28,0.357,23.8
"Mookie Betts",550,123,23,93,58,68,2,86,10,0.264,0.367,0.487,0.854,0.223,0.276,0.365,23.2
