batter,name,total,diff,type1,type2,runs,type2_ratio,rank
518735,"Grandal, Yasmani",1121,-29.380491652757847,35,60,5.856367349521947,5.352363960749331,1
547180,"Harper, Bryce",1185,-27.751125236270966,27,61,5.203683510377025,5.147679324894515,2
502054,"Pham, Tommy",1401,-12.519406144770175,38,86,4.962158577212756,6.138472519628837,3
663993,"Lowe, Nathaniel",1441,-23.195205056986794,43,60,4.3832374928927385,4.163775156141568,4
643393,"Kemp, Tony",832,-26.378840319558,30,60,4.359210845313204,7.211538461538461,5
543257,"Grossman, Robbie",1673,-14.029738587981997,31,135,4.280312474278816,8.069336521219366,6
663697,"India, Jonathan",1529,-22.590623867623865,54,90,4.201968591248988,5.886200130804448,7
592663,"Realmuto, J. T.",978,-23.52614669454954,25,53,4.194430761564359,5.419222903885481,8
458731,"Gardner, Brett",1264,-28.637087518742742,28,76,4.101041404238146,6.012658227848101,9
650490,"Díaz, Yandy",1153,-22.228800641018196,30,69,3.7250165406058424,5.9843885516045106,10
641487,"Crawford, J. P.",1517,-20.7680769226355,53,77,3.7010545253887237,5.075807514831905,11
643265,"Cooper, Garrett",518,-14.645607655165566,16,31,3.1954767777123245,5.984555984555985,12
543068,"Cron, C. J.",1101,-17.369289762548156,31,68,3.1431431816885254,6.176203451407812,13
514888,"Altuve, Jose",1427,-16.18037615119636,30,119,3.1357098736043216,8.33917309039944,14
516416,"Segura, Jean",1064,-25.835798728883926,27,76,2.8499115892586673,7.142857142857142,15
605141,"Betts, Mookie",1385,-15.951996639139711,32,99,2.766368870360394,7.148014440433213,16
621566,"Olson, Matt",1383,-11.84355552918507,32,69,2.735755695676978,4.989154013015185,17
650333,"Arraez, Luis",1076,-17.340330951682525,33,77,2.6658334950735934,7.156133828996282,18
643217,"Benintendi, Andrew",926,-17.13531924176473,24,38,2.6184089773904446,4.103671706263499,19
645277,"Albies, Ozzie",1184,-24.036622994993103,18,60,2.6102840592963807,5.0675675675675675,20
656555,"Hoskins, Rhys",998,-19.98761388178872,33,48,2.6054342107147197,4.809619238476954,21
641820,"Mancini, Trey",1238,-10.833548539850257,34,73,2.560161158381252,5.896607431340872,22
572287,"Zunino, Mike",770,-12.806758961231239,27,42,2.4943402167220396,5.454545454545454,23
518692,"Freeman, Freddie",1382,-19.490786120575805,42,79,2.424872965307305,5.716353111432706,24
575929,"Contreras, Willson",1013,-13.805275409569802,26,66,2.3416788607100547,6.515301085883514,25
571970,"Muncy, Max",1427,-13.363510246488953,44,99,2.1972219491227705,6.937631394533987,26
664702,"Straw, Myles",1526,-10.794850694606113,42,84,2.16576231910714,5.5045871559633035,27
645302,"Robles, Victor",676,-9.69755082729074,22,35,2.161585747238099,5.177514792899409,28
605137,"Bell, Josh",1089,-8.84361968884721,22,82,2.1454288333360583,7.529843893480257,29
542932,"Berti, Jon",624,-15.29389399902524,27,36,2.12445166861239,5.769230769230769,30
500743,"Rojas, Miguel",1031,-19.584885075888767,28,63,2.116534195945861,6.110572259941804,31
592450,"Judge, Aaron",1431,-13.665163873499298,40,128,2.101368461614292,8.944793850454227,32
642715,"Adames, Willy",1119,-3.250780619888658,24,65,2.03576237581533,5.808757819481681,33
543939,"Wong, Kolten",952,-16.626614051789243,38,55,2.0102209935728848,5.777310924369748,34
467793,"Santana, Carlos",1448,-13.921456667191727,45,72,2.0090779374854173,4.972375690607735,35
665742,"Soto, Juan",1603,-7.704132727841814,38,104,1.9895154530681134,6.487835308796007,36
476704,"Lowrie, Jed",1021,-18.41146984442011,32,51,1.9846149372058945,4.995102840352596,37
571745,"Haniger, Mitch",1414,-16.01517493136506,33,71,1.9820600104993629,5.021216407355021,38
656775,"Mullins, Cedric",1341,-14.787208075823198,35,56,1.974300360690696,4.175988068605518,39
649966,"Urias, Luis",1162,-10.267088594218162,30,78,1.9496453749273674,6.712564543889846,40
656371,"Diaz, Isan",572,-7.362556477758736,22,30,1.946509401565409,5.244755244755245,41
