pitcher,name,total,diff,type1,type2,type1_ratio,rank
518774,"Harvey, Matt",1114,-33.28793828,54,64,4.847396768,1
468504,"Chacin, Jhoulys",534,-14.88725318,25,27,4.68164794,2
676979,"Crochet, Garrett",513,-19.77900106,22,21,4.288499025,3
605135,"Bassitt, Chris",1211,-27.16309368,48,67,3.963666391,4
605347,"Lopez, Jorge",1141,-34.49677751,45,57,3.943908852,5
623149,"Sewald, Paul",544,-12.11255299,21,28,3.860294118,6
605507,"Thompson, Zach",596,7.688435945,23,50,3.859060403,7
456034,"Price, David",577,-3.296387041,22,43,3.812824957,8
663986,"Stephan, Trevor",620,-15.29951224,23,28,3.709677419,9
543766,"Shaw, Bryan",664,1.433697971,24,47,3.614457831,10
605452,"Ross, Joe",890,-10.81296272,31,57,3.483146067,11
596133,"Weaver, Luke",521,7.279989234,18,40,3.454894434,12
640448,"Finnegan, Kyle",608,-6.711687127,21,32,3.453947368,13
571578,"Corbin, Patrick",1307,-19.07697337,44,89,3.366488141,14
664285,"Valdez, Framber",1265,-33.39122818,42,73,3.320158103,15
608566,"Marquez, German",1372,-7.707673038,45,84,3.279883382,16
641302,"Alexander, Tyler",797,-11.34477105,26,55,3.262233375,17
595014,"Treinen, Blake",584,0.423456689,19,41,3.253424658,18
573186,"Stroman, Marcus",1336,2.583942799,43,104,3.218562874,19
645261,"Alcantara, Sandy",1377,-11.91309223,44,70,3.195352215,20
642232,"Yarbrough, Ryan",1226,15.13220122,39,101,3.181076672,21
593372,"Martinez, Carlos",667,-3.28221829,21,36,3.148425787,22
621052,"Reyes, Alex",638,-12.97002481,20,37,3.134796238,23
607644,"Means, John",1120,-9.76801706,35,71,3.125,24
642397,"Soto, Gregory",576,-10.00377735,18,24,3.125,25
579328,"Kikuchi, Yusei",1252,-34.70817598,39,57,3.115015974,26
666159,"Manning, Matt",723,-15.63498688,22,39,3.042876902,27
607481,"Bummer, Aaron",561,-14.07190269,17,36,3.03030303,28
543135,"Eovaldi, Nathan",1486,-6.117172757,45,91,3.028263795,29
670912,"Oviedo, Johan",562,-4.494965375,17,34,3.024911032,30
571927,"Matz, Steven",1323,-11.73231804,40,77,3.023431595,31
663738,"Lynch, Daniel",603,-8.321883033,18,36,2.985074627,32
641755,"Kinley, Tyler",505,1.174831768,15,35,2.97029703,33
665152,"Kremer, Dean",505,-20.35823273,15,22,2.97029703,34
501985,"Minor, Mike",1284,-4.165328123,38,90,2.959501558,35
656605,"Keller, Mitch",915,-11.92556548,27,37,2.950819672,36
663460,"Bubic, Kris",1158,-13.41631205,34,69,2.936096718,37
669373,"Skubal, Tarik",1237,-19.47608557,36,64,2.910266774,38
622491,"Castillo, Luis",1553,-2.255319327,45,106,2.897617514,39
641778,"Lauer, Eric",1003,-9.463343421,29,56,2.891326022,40
518516,"Bumgarner, Madison",1147,-0.94266546,33,79,2.877070619,41
669432,"Rogers, Trevor",1050,-12.53582989,30,66,2.857142857,42
571760,"Heaney, Andrew",1156,5.70121303,33,70,2.85467128,43
608379,"Wacha, Michael",876,-5.707131558,25,57,2.853881279,44
571510,"Boyd, Matt",597,-5.024538213,17,33,2.847571189,45
592826,"Velasquez, Vince",878,-7.009192741,25,50,2.84738041,46
542585,"Cisnero, Jose",565,-7.876641315,16,29,2.831858407,47
643511,"Rogers, Tyler",569,11.61016782,16,57,2.811950791,48
666200,"Luzardo, Jesus",857,2.756402835,24,58,2.800466744,49
544727,"Familia, Jeurys",501,-5.382337753,14,24,2.794411178,50
608337,"Giolito, Lucas",1434,-9.349269136,40,84,2.789400279,51
657006,"Steele, Justin",504,-13.75616145,14,16,2.777777778,52
640455,"Manaea, Sean",1411,-12.64018055,39,84,2.763997165,53
592351,"Gray, Jon",1303,-5.141801457,36,87,2.76285495,54
605164,"Bundy, Dylan",797,9.345361624,22,54,2.760351317,55
596295,"Gomber, Austin",944,10.86369696,26,73,2.754237288,56
572955,"Johnson, Pierce",546,-0.423140179,15,31,2.747252747,57
592836,"Walker, Taijuan",1311,1.269852436,36,77,2.745995423,58
656288,"Canning, Griffin",510,-3.998980267,14,28,2.745098039,59
448179,"Hill, Rich",1316,15.71354687,36,99,2.73556231,60
676840,"Peacock, Matt",661,-5.902096483,18,38,2.723146747,61
656529,"Hentges, Sam",628,-14.49999379,17,33,2.707006369,62
664353,"Urquidy, Jose",813,-6.926769653,22,49,2.70602706,63
571521,"Brothers, Rex",518,-8.285868797,14,32,2.702702703,64
605397,"Musgrove, Joe",1447,-21.86328322,39,90,2.695231513,65
669211,"Akin, Keegan",855,-5.703530905,23,58,2.69005848,66
592767,"Smyly, Drew",1045,8.396241492,28,92,2.679425837,67
