"Name","ERA","W","L","SV","G","GS","IP","SO","BB","K_BB","WHIP","FIP","tERA","WAR"
"Corbin Burnes",2.43,11,5,0,28,28,167,234,34,6.88,0.94,1.63,1.96,7.5
"Zack Wheeler",2.78,14,10,0,32,32,213.1,247,46,5.37,1.01,2.59,3.09,7.3
"Nathan Eovaldi",3.75,11,9,0,32,32,182.1,195,35,5.57,1.19,2.79,3.47,5.6
"Walker Buehler",2.47,16,4,0,33,33,207.2,212,52,4.08,0.97,3.16,3.22,5.5
"Max Scherzer",2.46,15,4,0,30,30,179.1,236,36,6.56,0.86,2.97,2.87,5.4
"Gerrit Cole",3.23,16,8,0,30,30,181.1,243,41,5.93,1.06,2.92,2.71,5.3
"Julio Urias",2.96,20,3,0,32,32,185.2,195,38,5.13,1.02,3.13,3.06,5
"Carlos Rodon",2.37,13,5,0,24,24,132.2,185,36,5.14,0.96,2.65,2.48,4.9
"Kevin Gausman",2.81,14,6,0,33,33,192,227,50,4.54,1.04,3,3.23,4.8
"Brandon Woodruff",2.56,9,10,0,30,30,179.1,211,43,4.91,0.96,2.96,3.81,4.7
"Charlie Morton",3.34,14,6,0,33,33,185.2,216,58,3.72,1.04,3.18,3.78,4.6
"Aaron Nola",4.63,9,9,0,32,32,180.2,223,39,5.72,1.13,3.37,3.41,4.5
"Dylan Cease",3.91,13,7,0,32,32,165.2,226,68,3.32,1.25,3.41,3.63,4.4
"Trevor Rogers",2.64,7,8,0,25,25,133,157,46,3.41,1.15,2.55,3.01,4.2
"Lance Lynn",2.69,11,6,0,28,28,157,176,45,3.91,1.07,3.32,3.29,4.2
"Sandy Alcantara",3.19,9,15,0,33,33,205.2,201,50,4.02,1.07,3.42,3.45,4.2
"Logan Webb",3.03,11,3,0,27,26,148.1,158,36,4.39,1.11,2.72,3.02,4.1
"Frankie Montas",3.37,13,9,0,32,32,187,207,57,3.63,1.18,3.37,3.62,4.1
"Jose Berrios",3.52,12,9,0,32,32,192,204,45,4.53,1.06,3.47,4.05,4.1
"Freddy Peralta",2.81,10,5,0,28,27,144.1,195,56,3.48,0.97,3.12,3.12,4
"Lucas Giolito",3.53,11,9,0,31,31,178.2,201,52,3.87,1.1,3.79,4.27,4
"Robbie Ray",2.84,13,7,0,32,32,193.1,248,52,4.77,1.04,3.69,3.75,3.9
"Max Fried",3.04,14,7,0,28,28,165.2,158,41,3.85,1.09,3.31,3.76,3.8
"Adam Wainwright",3.05,17,7,0,32,32,206.1,174,50,3.48,1.06,3.66,4.02,3.8
"Tyler Mahle",3.75,13,6,0,33,33,180,210,64,3.28,1.23,3.8,4.24,3.8
"Eduardo Rodriguez",4.74,13,8,0,32,31,157.2,185,47,3.94,1.39,3.32,3.89,3.8
"Luis Castillo",3.98,8,16,0,33,33,187.2,192,75,2.56,1.36,3.75,4.14,3.7
"Antonio Senzatela",4.42,4,10,0,28,28,156.2,105,32,3.28,1.34,3.61,4.78,3.5
"Marcus Stroman",3.02,10,13,0,33,33,179,158,44,3.59,1.15,3.49,3.89,3.4
"Clayton Kershaw",3.55,10,8,0,22,22,121.2,144,21,6.86,1.02,3,2.97,3.4
"German Marquez",4.4,12,11,0,32,32,180,176,64,2.75,1.27,3.86,5.01,3.4
"Chris Bassitt",3.15,12,4,0,27,27,157.1,159,39,4.08,1.06,3.34,3.41,3.3
"Lance McCullers Jr.",3.16,13,5,0,28,28,162.1,185,76,2.43,1.22,3.52,3.4,3.3
"Joe Musgrove",3.18,11,9,0,32,31,181.1,203,54,3.76,1.08,3.7,4.02,3.3
"Jordan Montgomery",3.83,6,7,0,30,30,157.1,162,51,3.18,1.28,3.69,3.94,3.3
"Sean Manaea",3.91,11,10,0,32,32,179.1,194,41,4.73,1.23,3.66,3.89,3.3
"Luis Garcia",3.48,11,8,0,30,28,155.1,167,50,3.34,1.18,3.63,3.75,3.1
"Ranger Suarez",1.36,8,5,4,39,12,106,107,33,3.24,1,2.72,2.58,3
"Anthony DeSclafani",3.17,13,7,0,31,31,167.2,152,42,3.62,1.09,3.62,3.62,3
"Shohei Ohtani",3.18,9,2,0,23,23,130.1,156,44,3.55,1.09,3.52,3.67,3
"Chris Flexen",3.61,14,6,0,31,31,179.2,125,40,3.13,1.25,3.89,4.06,3
"Kyle Gibson",3.71,10,9,0,31,30,182,155,64,2.42,1.22,3.87,4.07,3
"Wade Miley",3.37,12,7,0,28,28,163,125,50,2.5,1.33,3.97,4.95,2.9
"Yu Darvish",4.22,8,11,0,30,30,166.1,199,44,4.52,1.09,3.9,3.63,2.9
"Steven Matz",3.82,14,7,0,29,29,150.2,144,43,3.35,1.33,3.79,4.38,2.8
"Shane McClanahan",3.43,10,6,0,25,25,123.1,141,37,3.81,1.27,3.31,3.86,2.5
"John Means",3.62,6,9,0,26,26,146.2,134,26,5.15,1.03,4.62,4.66,2.5
"Alex Wood",3.83,10,4,0,26,26,138.2,152,39,3.9,1.18,3.48,3.87,2.5
"Hyun-Jin Ryu",4.37,14,10,0,31,31,169,143,37,3.86,1.22,4.02,4.48,2.5
"Sonny Gray",4.19,7,9,0,26,26,135.1,155,50,3.1,1.22,3.99,4.47,2.4
"Merrill Kelly",4.44,7,11,0,27,27,158,130,41,3.17,1.29,4.11,4.57,2.4
"Pablo Lopez",3.07,5,5,0,20,20,102.2,115,26,4.42,1.12,3.29,3.53,2.3
"Jon Gray",4.59,8,12,0,29,29,149,157,58,2.71,1.33,4.22,4.83,2.3
"Mike Minor",5.05,8,12,0,28,28,158.2,149,41,3.63,1.24,4.29,4.55,2.3
"Zach Eflin",4.17,4,7,0,18,18,105.2,99,16,6.19,1.25,3.68,4.34,2.2
"Logan Gilbert",4.68,6,5,0,24,24,119.1,128,28,4.57,1.17,3.73,3.78,2.2
"Blake Snell",4.2,7,6,0,27,27,128.2,170,69,2.46,1.32,3.82,4.08,2.1
"Cole Irvin",4.24,10,15,0,32,32,178.1,125,42,2.98,1.33,4.3,4.87,2.1
"Tyler Anderson",4.53,7,11,0,31,31,167,134,38,3.53,1.25,4.37,4.62,2.1
"Nick Pivetta",4.53,9,8,1,31,30,155,175,65,2.69,1.3,4.28,4.39,2.1
"Alek Manoah",3.22,9,2,0,20,20,111.2,127,40,3.18,1.05,3.8,4.14,2
"Jameson Taillon",4.3,8,6,0,29,29,144.1,140,44,3.18,1.21,4.43,4.28,2
"Brady Singer",4.91,5,10,0,27,27,128.1,131,53,2.47,1.55,4.04,4.62,2
